uri,tag_name
1227349835843538945,Disgusto
1227349835843538945,Hate speech
1227349835843538945,Contenitore
1227349835843538945,Divergente
1227355101226061825,Disgusto
1227355101226061825,Ironia
1227355101226061825,Contenuto
1227355101226061825,Divergente
1227337515008495619,Disgusto
1227337515008495619,Sarcasmo
1227337515008495619,Contenuto
1227337515008495619,Divergente
1227356441889136640,Sorpresa
1227356441889136640,Ironia
1227356441889136640,Contenuto
1227356441889136640,Divergente
1227358957783724032,Fiducia
1227358957783724032,Ironia
1227358957783724032,Divergente
1227329603548721155,Neutro
1227329603548721155,Contenitore
1227329603548721155,Parallela
1227351351178465280,Neutro
1227351351178465280,Ironia
1227351351178465280,Contenuto
1227351351178465280,Additiva
1227329807236681730,Gioia
1227329807236681730,Sorpresa
1227329807236681730,Ironia
1227329807236681730,Contenuto
1227329807236681730,Divergente
1227347650506260482,Fiducia
1227347650506260482,Contenitore
1227347650506260482,Additiva
1227334515753979904,Disgusto
1227334515753979904,Ironia
1227334515753979904,Sarcasmo
1227334515753979904,Divergente
1227336770162958336,Fiducia
1227336770162958336,Ironia
1227336770162958336,Divergente
1227350093969477633,Neutro
1227350093969477633,Contenitore
1227350093969477633,Additiva
1227353773955321860,Disgusto
1227353773955321860,Ironia
1227353773955321860,Sarcasmo
1227353773955321860,Contenuto
1227353773955321860,Additiva
1227360124911718400,Disgusto
1227360124911718400,Contenuto
1227360124911718400,Additiva
1227355322643341312,Disgusto
1227355322643341312,Ironia
1227355322643341312,Contenuto
1227355322643341312,Divergente
1227330682759864320,Neutro
1227330682759864320,Ironia
1227330682759864320,Contenuto
1227330682759864320,Divergente
1227365557273583616,Disgusto
1227365557273583616,Contenuto
1227365557273583616,Citazione
1227365557273583616,Divergente
1227334607818907648,Gioia
1227334607818907648,Sorpresa
1227334607818907648,Contenuto
1227334607818907648,Divergente
1227364483624054785,Neutro
1227364483624054785,Ironia
1227364483624054785,Contenuto
1227364483624054785,Divergente
1227350833148448769,Gioia
1227350833148448769,Sorpresa
1227350833148448769,Contenuto
1227350833148448769,Additiva
1227330361866227713,Sorpresa
1227330361866227713,Ironia
1227330361866227713,Contenuto
1227330361866227713,Divergente
1227344879283560455,Neutro
1227344879283560455,Contenuto
1227344879283560455,Parallela
1227367047585304576,Neutro
1227367047585304576,Ironia
1227367047585304576,Divergente
1227311369936130050,Neutro
1227311369936130050,Contenitore
1227311369936130050,Parallela
1227364985615081473,Gioia
1227364985615081473,Ironia
1227364985615081473,Contenuto
1227364985615081473,Divergente
1227349040897155077,Sorpresa
1227349040897155077,Ironia
1227349040897155077,Contenuto
1227349040897155077,Divergente
1227344083921797121,Neutro
1227344083921797121,Contenuto
1227344083921797121,Citazione
1227344083921797121,Parallela
1227353743139758081,Sorpresa
1227353743139758081,Ironia
1227353743139758081,Contenuto
1227353743139758081,Divergente
1227365769585078272,Gioia
1227365769585078272,Ironia
1227365769585078272,Contenuto
1227365769585078272,Divergente
1227352176508444672,Gioia
1227352176508444672,Sorpresa
1227352176508444672,Divergente
1227355895975292942,Disgusto
1227355895975292942,Ironia
1227355895975292942,Contenuto
1227355895975292942,Additiva
1227345513768419334,Gioia
1227345513768419334,Contenuto
1227345513768419334,Parallela
1227361523695308801,Sorpresa
1227361523695308801,Ironia
1227361523695308801,Contenuto
1227361523695308801,Divergente
1227361462424948737,Sorpresa
1227361462424948737,Ironia
1227361462424948737,Sarcasmo
1227361462424948737,Contenuto
1227361462424948737,Divergente
1227352729397448709,Fiducia
1227352729397448709,Contenuto
1227352729397448709,Divergente
1227368081774784513,Gioia
1227368081774784513,Ironia
1227368081774784513,Contenuto
1227368081774784513,Divergente
1227355552902254603,Rabbia
1227355552902254603,Contenuto
1227355552902254603,Divergente
1227337923521060865,Gioia
1227337923521060865,Ironia
1227337923521060865,Contenuto
1227337923521060865,Additiva
1227342425120739328,Neutro
